text,label
PlayerA = dead,PlayerA
sighs = PlayerA,PlayerA
<<<PlayerA,PlayerA
PlayerA on hermiyone for vindi - died at the end,PlayerA
PlayerA on estyra,PlayerA
PlayerA on inyaga,PlayerA
LOGS PlayerA dead,PlayerA
PlayerA on PlayerB (zoned for fac),PlayerA
add me to log PlayerA,PlayerA
PlayerA on VS raceline,PlayerA
"please add PlayerA for logs, recovery / ports in tov",PlayerA
<--- PlayerA,PlayerA
PlayerA - was setting up a macro sry dude,PlayerA
PlayerA for logs,PlayerA
PlayerA vox tracker,PlayerA
PlayerA on Xovydal,PlayerA
PlayerA on Mymoms,PlayerA
Noif = PlayerA,PlayerA
PlayerA ty,PlayerA
PlayerA on this toon,PlayerA
<-- PlayerA for logs plz,PlayerA
PlayerA for logsd,PlayerA
PlayerA tracking lep,PlayerA
PlayerA on bagtheera,PlayerA
PlayerA (tracked MOTG),PlayerA
PlayerA here tracking VS,PlayerA
PlayerA tracker at trak,PlayerA
"PlayerA, was PlayerB",PlayerB
PlayerA on verbier,PlayerA
PlayerA gated already,PlayerA
PlayerA helping with tov cr,PlayerA
PlayerA here pls,PlayerA
PlayerA-dead,PlayerA
PlayerA for the fear golems,PlayerA
PlayerA on Sowr,PlayerA
PlayerA helping get ppl over,PlayerA
PlayerA TL'd out,PlayerA
PlayerA - porting outa fear,PlayerA
PlayerA - in case missed,PlayerA
swap PlayerA,PlayerA
PlayerA on sighs,PlayerA
"add PlayerA, I swapped back after concede",PlayerA
"PlayerA here, in the middle of recruiting, please add to logs.",PlayerA
was there on PlayerA ~,PlayerA
"""+PlayerA=Estyra""",PlayerA
"+PlayerA, dead",PlayerA
PlayerA tried to swap for PlayerB tag=/,PlayerB
outside sowing,DEFAULT_SENDER
you take mini logs? PlayerA on Cao for minis,PlayerA
PlayerA = dead,PlayerA
Roobi ihere,NAME_TYPO_AT_WORD_1
this is larc,NAME_TYPO_AT_WORD_3
tangpmike was there for vaniki and vilefang,NAME_TYPO_AT_WORD_1
mishmash on Halloe,NAME_TYPO_AT_WORD_1
###,NAME_TYPO_AT_WORD_2
###,NAME_TYPO_AT_WORD_3
###,NAME_TYPO_AT_WORD_4
###,NAME_TYPO_AT_WORD_5
